state/ut,PC,candidate_name,party,evm_votes,postal_votes,total_votes,percent_votes,rank,Status
Maharashtra,Mumbai North,Ankushrao Shivajirao Patil,Rashtriya Maratha Party,387,1,388,0.04,16,Lost
Maharashtra,Mumbai North,Akhtar Munshi Paper Wala,Independent,292,0,292,0.03,17,Lost
Maharashtra,Mumbai North,Chhannu Sahadewrao Sontakkey,Bharat Prabhat Party,274,0,274,0.03,18,Lost
Maharashtra,Mumbai North,Ranjit Bajrangi Tiwari,Naitik Party,256,0,256,0.03,19,Lost
Maharashtra,Mumbai North central,POONAM MAHAJAN,Bharatiya Janata Party,485815,857,486672,53.97,1,Won
Maharashtra,Mumbai North central,DUTT PRIYA SUNIL,Indian National Congress,356298,369,356667,39.55,2,Lost
Maharashtra,Mumbai North central,ABDUR REHMAN ANJARIA,Vanchit Bahujan Aaghadi,33626,77,33703,3.74,3,Lost
Maharashtra,Mumbai North central,NOTA,None of the Above,10647,22,10669,1.18,4,Lost
Maharashtra,Mumbai North central,IMRAN MUSTAFA KHAN,Bahujan Samaj Party,4190,5,4195,0.47,5,Lost
Maharashtra,Mumbai North central,MOHD. YAHIYA SIDDIQUE,Independent,1073,0,1073,0.12,6,Lost
Maharashtra,Mumbai North central,SUNDER BABURAO PADMUKH,Independent,989,0,989,0.11,7,Lost
Maharashtra,Mumbai North central,JOY NAGESH BHOSLE,Independent,942,0,942,0.1,8,Lost
Maharashtra,Mumbai North central,NOORUDDIN AFTAB AZIMUDDIN SAYYED,Independent,858,0,858,0.1,9,Lost
Maharashtra,Mumbai North central,SNEHA (SAGAR) NIVRUTTI KALE,Independent,759,0,759,0.08,10,Lost
Maharashtra,Mumbai North central,MOHAMMAD MEHMOOD SYED SHAH,All India Minorities Front,722,0,722,0.08,11,Lost
Maharashtra,Mumbai North central,MOHAMMAD MOBIN SHAIKH (AZMI),Peace Party,671,0,671,0.07,12,Lost
Maharashtra,Mumbai North central,KURBAN SHAHADAT HUSSAIN,Rashtriya Ulama Council,613,0,613,0.07,13,Lost
Maharashtra,Mumbai North central,ANKUSH RAMCHANDRA KARANDE,Independent,535,0,535,0.06,14,Lost
Maharashtra,Mumbai North central,ADV. VANSH BAHADUR SABHAJEET YADAV,Independent,496,1,497,0.06,15,Lost
Maharashtra,Mumbai North central,MILIND (ANNA) KAMBLE,Bharat Jan Aadhar Party,486,2,488,0.05,16,Lost
Maharashtra,Mumbai North central,AKSHAY KACHARU SANAP,Independent,454,0,454,0.05,17,Lost
Maharashtra,Mumbai North central,ADV. FEROZ A. SHAIKH,Jan Adhikar Party,411,0,411,0.05,18,Lost
Maharashtra,Mumbai North central,HARSHVARDHAN RAMSURESH PANDEY,Independent,321,0,321,0.04,19,Lost
Maharashtra,Mumbai North central,RAJESH NANDLAL BHAVSAR,Bhartiya Manavadhikaar Federal Party,284,0,284,0.03,20,Lost
Maharashtra,Mumbai North central,MEHEDI IQBAL HASAN SAYYED,Ambedkar National Congress,261,0,261,0.03,21,Lost
Maharashtra,Mumbai North East,Manoj Kotak,Bharatiya Janata Party,513579,1020,514599,56.61,1,Won
