state/ut,PC,candidate_name,party,evm_votes,postal_votes,total_votes,Rank,Status
Punjab,Fatehgarh Sahib,HARINDER SINGH KHALSA,Aam Aadmi Party,367231,62,367293,6,Lost
Punjab,Fatehgarh Sahib,GURDEEP SINGH,IVD,1930,0,1930,7,Lost
Punjab,Fatehgarh Sahib,DHARAM SINGH,Shiromani Akali Dal (Amritsar)(Sim,3173,0,3173,8,Lost
Punjab,Fatehgarh Sahib,LAKHVIR SINGH,Jammu & Kashmir National Panthers Party,1733,0,1733,9,Lost
Punjab,Fatehgarh Sahib,AVTAR SINGH,Independent,848,0,848,10,Lost
Punjab,Fatehgarh Sahib,PARAMJIT SINGH,Independent,1266,0,1266,11,Lost
Punjab,Fatehgarh Sahib,MANPREET SINGH,Independent,886,0,886,12,Lost
Punjab,Fatehgarh Sahib,RANJIT SINGH,Independent,1679,0,1679,13,Lost
Punjab,Fatehgarh Sahib,LACHHMAN SINGH S/O S.SAROOP SINGH,Independent,2852,0,2852,14,Lost
Punjab,Fatehgarh Sahib,LACHHMAN SINGH S/O S.GULZAR SINGH,Independent,2141,0,2141,15,Lost
Punjab,Fatehgarh Sahib,None of the Above,NOTA,4005,0,4005,16,Lost
Punjab,Faridkot,SANT RAM,Bahujan Samaj Party,8279,3,8282,1,Won
Punjab,Faridkot,KASHMIR SINGH,Communist Party of India,14573,0,14573,2,Lost
Punjab,Faridkot,JOGINDER SINGH,Indian National Congress,251170,52,251222,3,Lost
Punjab,Faridkot,PARAMJIT KAUR GULSHAN,Shiromani Akali Dal,277956,279,278235,4,Lost
Punjab,Faridkot,SATPAL SINGH,IKL,3680,0,3680,5,Lost
Punjab,Faridkot,PROF. SADHU SINGH,Aam Aadmi Party,450632,119,450751,6,Lost
Punjab,Faridkot,GURCHARAN SINGH,Republican Party of India,1531,0,1531,7,Lost
Punjab,Faridkot,GOBIND SINGH,Republican Party of India (A),864,1,865,8,Lost
Punjab,Faridkot,JARNAIL SINGH,NBDP,1358,0,1358,9,Lost
Punjab,Faridkot,DARSHAN SINGH,Shiromani Akali Dal (Amritsar)(Sim,1604,1,1605,10,Lost
Punjab,Faridkot,PARAMJIT KAUR W/O AMRIK SINGH,Bahujan Mukti Party,1159,0,1159,11,Lost
Punjab,Faridkot,MANGAT RAM MANGA,Shivsena,2213,0,2213,12,Lost
Punjab,Faridkot,MOTI LAL,BhSMP,1511,1,1512,13,Lost
Punjab,Faridkot,SEEMA RANI,Independent,1726,0,1726,14,Lost
Punjab,Faridkot,JASVEER SINGH,Independent,1693,0,1693,15,Lost
Punjab,Faridkot,JOGINDER SINGH S/O KESAR SINGH,Independent,2667,0,2667,16,Lost
Punjab,Faridkot,PARAMJEET KAUR W/O GURPREET SINGH,Independent,1623,0,1623,17,Lost
Punjab,Faridkot,BADAL SINGH,Independent,1123,0,1123,18,Lost
Punjab,Faridkot,REENA KUMARI,Independent,2473,0,2473,19,Lost
Punjab,Faridkot,None of the Above,NOTA,3816,0,3816,20,Lost
Punjab,Firozpur,SUNIL JAKHAR,Indian National Congress,456401,111,456512,1,Won
Punjab,Firozpur,SHER SINGH GHUBAYA,Shiromani Akali Dal,487737,195,487932,2,Lost
Punjab,Firozpur,RAM KUMAR PARJAPAT,Bahujan Samaj Party,22265,9,22274,3,Lost
Punjab,Firozpur,SATNAM PAUL KAMBOJ,Aam Aadmi Party,113297,115,113412,4,Lost
Punjab,Firozpur,DHIAN SINGH MAND,Shiromani Akali Dal (Amritsar)(Sim,3654,1,3655,5,Lost
Punjab,Firozpur,BALJINDER SINGH,BGTD,681,0,681,6,Lost
Punjab,Firozpur,SWARAN SINGH,Independent,766,0,766,7,Lost
Punjab,Firozpur,SAMPURAN SINGH,Independent,682,0,682,8,Lost
Punjab,Firozpur,GURJANT SINGH,Independent,1088,0,1088,9,Lost
Punjab,Firozpur,CHANAN SINGH WATTU,Independent,1237,0,1237,10,Lost
Punjab,Firozpur,PARAMJEET SINGH DESAL,Independent,976,0,976,11,Lost
Punjab,Firozpur,PANJAB SINGH KATWAL,Independent,1759,0,1759,12,Lost
Punjab,Firozpur,MANOJ KUMAR MONGA,Independent,1896,0,1896,13,Lost
Punjab,Firozpur,RAJINDER BHATHEJA,Independent,1546,0,1546,14,Lost
Punjab,Firozpur,RAJ GILL,Independent,3311,0,3311,15,Lost
Punjab,Firozpur,None of the Above,NOTA,7677,8,7685,16,Lost
Punjab,Bathinda,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,514562,165,514727,1,Won
Punjab,Bathinda,KULDEEP SINGH,Bahujan Samaj Party,13731,1,13732,2,Lost
Punjab,Bathinda,MANPREET SINGH BADAL S/O GURDAS SINGH,Indian National Congress,495232,100,495332,3,Lost
Punjab,Bathinda,SHAMINDER SINGH,Jammu & Kashmir National Panthers Party,4610,0,4610,4,Lost
Punjab,Bathinda,SUKHWINDER SINGH,Bahujan Mukti Party,1081,5,1086,5,Lost
Punjab,Bathinda,SURESH KUMAR GOYAL,JanSP,944,0,944,6,Lost
Punjab,Bathinda,GEETA RANI,Akhil Bharatiya Shivsena Rashtrawadi,4380,0,4380,7,Lost
Punjab,Bathinda,GURDEEP SINGH,IKL,1404,0,1404,8,Lost
Punjab,Bathinda,GURMEET SINGH RANGHRETA,PLP,1385,1,1386,9,Lost
Punjab,Bathinda,JASRAJ SINGH LONGIA,Aam Aadmi Party,87844,57,87901,10,Lost
Punjab,Bathinda,JAGDISH RAI SHARMA,NBDP,1248,0,1248,11,Lost
Punjab,Bathinda,NAVNEET,Shivsena,1888,5,1893,12,Lost
Punjab,Bathinda,BHAGWANT SINGH SAMAON,Communist Party of India (Marxist-Lenninist) (Liberation),5984,0,5984,13,Lost
Punjab,Bathinda,MAKHAN LAL,BSP(A),2587,0,2587,14,Lost
Punjab,Bathinda,RAJINDER SINGH,Shiromani Akali Dal (Amritsar)(Sim,1959,1,1960,15,Lost
Punjab,Bathinda,ASHISH,Independent,6626,0,6626,16,Lost
Punjab,Bathinda,SATISH ARORA,Independent,5936,0,5936,17,Lost
Punjab,Bathinda,SWARAN SINGH,Independent,2077,0,2077,18,Lost
Punjab,Bathinda,SANJEEV KUMAR THAPAR,Independent,2833,0,2833,19,Lost
Punjab,Bathinda,SUSHIL KUMAR JINDAL,Independent,1330,0,1330,20,Lost
Punjab,Bathinda,KARTAR SINGH,Independent,916,0,916,21,Lost
Punjab,Bathinda,GURCHARAN SINGH,Independent,820,0,820,22,Lost
Punjab,Bathinda,JASPAL SINGH,Independent,703,0,703,23,Lost
Punjab,Bathinda,JAGDEEP SINGH,Independent,668,0,668,24,Lost
Punjab,Bathinda,JAGDEEP SINGH GEHRI,Independent,1665,0,1665,25,Lost
Punjab,Bathinda,DYAL CHAND,Independent,955,0,955,26,Lost
Punjab,Bathinda,BHUPESH KUMAR,Independent,1487,0,1487,27,Lost
Punjab,Bathinda,MANPREET SINGH BADAL S/O GURDEV SINGH,Independent,4617,1,4618,28,Lost
Punjab,Bathinda,VIJAY KUMAR,Independent,2257,1,2258,29,Lost
Punjab,Bathinda,None of the Above,NOTA,4699,2,4701,30,Lost
Punjab,Sangrur,SUKHDEV SINGH DHINDSA,Shiromani Akali Dal,321471,45,321516,1,Won
Punjab,Sangrur,SUKHDEV RAM SHARMA,Communist Party of India,6934,0,6934,2,Lost
Punjab,Sangrur,JOGINDER SINGH AULAKH,Communist Party of India  (Marxist),3315,0,3315,3,Lost
Punjab,Sangrur,MADAN BHATTI,Bahujan Samaj Party,8405,3,8408,4,Lost
Punjab,Sangrur,VIJAY INDER SINGLA,Indian National Congress,181401,9,181410,5,Lost
Punjab,Sangrur,KARNAIL SINGH,Shiromani Akali Dal (Amritsar)(Sim,4126,1,4127,6,Lost
Punjab,Sangrur,GURDEEP SINGH,DBSP,1069,0,1069,7,Lost
Punjab,Sangrur,GURPREET SINGH,Communist Party of India (Marxist-Lenninist) (Liberation),2746,0,2746,8,Lost
Punjab,Sangrur,JASWANT SINGH,Bahujan Mukti Party,1556,0,1556,9,Lost
Punjab,Sangrur,JIT SINGH,Communist Party of India (Marxist),5879,0,5879,10,Lost
Punjab,Sangrur,BHAGWANT MANN,Aam Aadmi Party,533191,46,533237,11,Lost
Punjab,Sangrur,MAHMOOD AHMED THIND,Indian Union Muslim League,2261,0,2261,12,Lost
Punjab,Sangrur,SUKHDEV SINGH,Independent,1233,0,1233,13,Lost
Punjab,Sangrur,HARINDER KUMAR,Independent,1486,0,1486,14,Lost
Punjab,Sangrur,KARAM SINGH,Independent,1601,0,1601,15,Lost
Punjab,Sangrur,JOTI DEVAJI ANSUIA,Independent,6830,0,6830,16,Lost
Punjab,Sangrur,DHARAM SINGH,Independent,3290,0,3290,17,Lost
Punjab,Sangrur,PARVEEN KAUR,Independent,798,0,798,18,Lost
Punjab,Sangrur,BIJENDER,Independent,5395,0,5395,19,Lost
Punjab,Sangrur,BHAGWANT SINGH,Independent,2334,0,2334,20,Lost
Punjab,Sangrur,MANOJ KUMAR,Independent,1854,0,1854,21,Lost
Punjab,Sangrur,None of the Above,NOTA,2188,0,2188,22,Lost
Punjab,Patiala,DEEPINDER SINGH DHILLON,Shiromani Akali Dal,340092,17,340109,1,Won
Punjab,Patiala,NIRMAL SINGH DHALIWAL,Communist Party of India,8537,0,8537,2,Lost
Punjab,Patiala,PRENEET KAUR,Indian National Congress,344715,14,344729,3,Lost
Punjab,Patiala,RAM SINGH DHIMAN,Bahujan Samaj Party,13014,0,13014,4,Lost
Punjab,Patiala,AMRIK SINGH,aicp,936,0,936,5,Lost
Punjab,Patiala,HARISH KUMAR,Shivsena,2324,1,2325,6,Lost
Punjab,Patiala,GURPREET SINGH,BSP(A),2378,0,2378,7,Lost
Punjab,Patiala,DR. DHARAM VIRA GANDHI,Aam Aadmi Party,365644,27,365671,8,Lost
Punjab,Patiala,MOHINDER PAL SINGH,Shiromani Akali Dal (Amritsar)(Sim,2772,1,2773,9,Lost
Punjab,Patiala,RANJIT KAUR,BGTD,2178,0,2178,10,Lost
Punjab,Patiala,RANDHIR SINGH,Bahujan Mukti Party,1234,0,1234,11,Lost
Punjab,Patiala,RAVINDER SINGH,BhSMP,1177,0,1177,12,Lost
Punjab,Patiala,BIBI KAMALDEEP KAUR RAJOANA,Independent,15313,0,15313,13,Lost
Punjab,Patiala,GURBHEJ SINGH,Independent,2217,0,2217,14,Lost
Punjab,Patiala,DHARAM PAL,Independent,1271,0,1271,15,Lost
Punjab,Patiala,PARVEEN KUMAR,Independent,4089,0,4089,16,Lost
Punjab,Patiala,PARVESH BHATEJA,Independent,4915,0,4915,17,Lost
Punjab,Patiala,RAJINDER SINGH PAWAR,Independent,1625,0,1625,18,Lost
Punjab,Patiala,RAMISHER SINGH BILLA,Independent,2625,0,2625,19,Lost
Punjab,Patiala,LAKHWINDER SINGH MALHI,Independent,809,0,809,20,Lost
Punjab,Patiala,None of the Above,NOTA,3008,0,3008,21,Lost
Rajasthan,Ganganagar,NIHALCHAND,Bharatiya Janata Party,654306,3824,658130,1,Won
Rajasthan,Ganganagar,PALARAM,Communist Party of India  (Marxist),14926,18,14944,2,Lost
Rajasthan,Ganganagar,MASTER BHANWARLAL MEGHWAL,Indian National Congress,365698,691,366389,3,Lost
Rajasthan,Ganganagar,AMAR SINGH,Bahujan Mukti Party,6672,14,6686,4,Lost
Rajasthan,Ganganagar,ADVOCATE KARTAR SINGH BAINS,All India Trinamool Congress,5019,6,5025,5,Lost
Rajasthan,Ganganagar,JASVINDER SINGH,Jai Maha Bharath Party,3394,1,3395,6,Lost
Rajasthan,Ganganagar,DR. PALUSKAR K. T.,PRCP,5223,9,5232,7,Lost
Rajasthan,Ganganagar,BALWANT SINGH HARIYALA,BhSMP,5363,1,5364,8,Lost
Rajasthan,Ganganagar,DR. BALKRISHAN BAWARI,Aam Aadmi Party,39809,207,40016,9,Lost
Rajasthan,Ganganagar,SHIMLA DEVI NAYAK (ADVOCATE),nuzp,106083,502,106585,10,Lost
Rajasthan,Ganganagar,SUNIL BHADRWAL,Lok Dal,3721,8,3729,11,Lost
Rajasthan,Ganganagar,HETRAM,Rajasthan Vikas Party,2931,12,2943,12,Lost
Rajasthan,Ganganagar,OM PARKASH,Independent,3747,3,3750,13,Lost
Rajasthan,Ganganagar,KUMBHA RAM,Independent,3005,2,3007,14,Lost
Rajasthan,Ganganagar,TITAR SINGH,Independent,3913,11,3924,15,Lost
Rajasthan,Ganganagar,DULICHAND MEGHWAL,Independent,11978,3,11981,16,Lost
Rajasthan,Ganganagar,BALRAJ BAWARI,Independent,8786,2,8788,17,Lost
Rajasthan,Ganganagar,None of the Above,NOTA,6876,42,6918,18,Lost
Rajasthan,Bikaner,ARJUN RAM MEGHWAL ,Bharatiya Janata Party,583455,1477,584932,1,Won
Rajasthan,Bikaner,BHANWAR LAL,Bahujan Samaj Party,11369,18,11387,2,Lost
Rajasthan,Bikaner,ER. SHANKAR PANNU,Indian National Congress,276617,236,276853,3,Lost
Rajasthan,Bikaner,DR. GAURI SHANKER DAABI,Aam Aadmi Party,14105,43,14148,4,Lost
Rajasthan,Bikaner,MANGILAL NAYAK,nuzp,16813,26,16839,5,Lost
Rajasthan,Bikaner,RAM RATAN MEGHWAL,Bahujan Mukti Party,2537,1,2538,6,Lost
Rajasthan,Bikaner,GOPAL BALMIKI,Independent,4396,2,4398,7,Lost
Rajasthan,Bikaner,JAGDISH KUMAR NAYAK,Independent,5161,3,5164,8,Lost
Rajasthan,Bikaner,None of the Above,NOTA,13476,16,13492,9,Lost
Rajasthan,Churu,ABHINESH MAHARSHI,Bahujan Samaj Party,300508,509,301017,1,Won
Rajasthan,Churu,INDRA SINGH JAT,Communist Party of India  (Marxist),10764,14,10778,2,Lost
Rajasthan,Churu,PRATAP SINGH,Indian National Congress,176621,291,176912,3,Lost
Rajasthan,Churu,RAHUL KASWAN ,Bharatiya Janata Party,593163,2593,595756,4,Lost
Rajasthan,Churu,KRISHAN KUMAR SARAN,Aam Aadmi Party,13889,88,13977,5,Lost
Rajasthan,Churu,GORDHAN SARSWAT,All India Trinamool Congress,3988,3,3991,6,Lost
Rajasthan,Churu,TORURAM MEGHWAL,Bahujan Mukti Party,2046,8,2054,7,Lost
Rajasthan,Churu,MOHAMMAD ALI KHAN,BA S D,2311,2,2313,8,Lost
Rajasthan,Churu,SYOPAT RAM,BhSMP,2330,0,2330,9,Lost
Rajasthan,Churu,AJAY KUMAR,Independent,2937,1,2938,10,Lost
Rajasthan,Churu,RAJPAL,Independent,3721,6,3727,11,Lost
Rajasthan,Churu,SALIM GUJAR,Independent,4017,1,4018,12,Lost
Rajasthan,Churu,None of the Above,NOTA,11279,14,11293,13,Lost
Rajasthan,Jhunjhunu,RAHISA BANO,Bahujan Samaj Party,10398,25,10423,1,Won
Rajasthan,Jhunjhunu,RAJ BALA OLA,Indian National Congress,253495,852,254347,2,Lost
Rajasthan,Jhunjhunu,SANTOSH AHLAWAT,Bharatiya Janata Party,484630,3552,488182,3,Lost
Rajasthan,Jhunjhunu,URMILA,MEDP,5580,1,5581,4,Lost
Rajasthan,Jhunjhunu,OM PRAKASH JHARODA,Communist Party of India (Marxist-Lenninist) (Liberation),2503,3,2506,5,Lost
Rajasthan,Jhunjhunu,GENERAL R S KADYAN,Aam Aadmi Party,10283,103,10386,6,Lost
Rajasthan,Jhunjhunu,BHAN SINGH,BhSMP,1883,2,1885,7,Lost
Rajasthan,Jhunjhunu,BHUDAR MAL,All India Trinamool Congress,2979,0,2979,8,Lost
Rajasthan,Jhunjhunu,PRAVEEN KUMAR,Independent,1178,0,1178,9,Lost
Rajasthan,Jhunjhunu,MAHABEER PRASAD KUMAWAT,Independent,2930,2,2932,10,Lost
Rajasthan,Jhunjhunu,DR. RAJKUMAR SHARMA,Independent,205917,371,206288,11,Lost
Rajasthan,Jhunjhunu,RAJBALA,Independent,11734,6,11740,12,Lost
Rajasthan,Jhunjhunu,None of the Above,NOTA,8029,9,8038,13,Lost
Rajasthan,Sikar,AMARA RAM,Communist Party of India  (Marxist),53029,105,53134,1,Won
Rajasthan,Sikar,GULAM NABI AZAD,Bahujan Samaj Party,4097,15,4112,2,Lost
Rajasthan,Sikar,PRATAP SINGH JAT,Indian National Congress,259374,858,260232,3,Lost
Rajasthan,Sikar,SUMEDHANAND SARASWATI ,Bharatiya Janata Party,496393,3035,499428,4,Lost
Rajasthan,Sikar,SWAMI BHAGIRATH SINGH KHARRANTE BHADHADAR,Akhil Bharat Hindu Mahasabha,5384,3,5387,5,Lost
Rajasthan,Sikar,RAMESH SHARMA,bhp,1630,5,1635,6,Lost
Rajasthan,Sikar,VIMAL INDORIA,Jai Maha Bharath Party,967,1,968,7,Lost
Rajasthan,Sikar,SATISH KUMAR SHARMA,JGP,1049,9,1058,8,Lost
Rajasthan,Sikar,MAJOR SURENDRA KUMAR PUNIA,Aam Aadmi Party,15560,106,15666,9,Lost
Rajasthan,Sikar,AJAYPAL,Independent,7033,3,7036,10,Lost
Rajasthan,Sikar,KANHAIYA LAL BALAI,Independent,2159,10,2169,11,Lost
Rajasthan,Sikar,DULI CHAND KUMAWAT,Independent,4371,4,4375,12,Lost
Rajasthan,Sikar,PRATAP SINGH,Independent,10662,4,10666,13,Lost
Rajasthan,Sikar,SUBHASH MAHARIA,Independent,187526,1315,188841,14,Lost
Rajasthan,Sikar,SURENDRA KUMAR PHULWARIYA,Independent,3631,2,3633,15,Lost
Rajasthan,Sikar,None of the Above,NOTA,7401,9,7410,16,Lost
Rajasthan,Jaipur Rural,DR. C.P. JOSHI,Indian National Congress,298208,1826,300034,1,Won
Rajasthan,Jaipur Rural,RAJYAVARDHAN SINGH RATHORE ,Bharatiya Janata Party,629447,3483,632930,2,Lost
Rajasthan,Jaipur Rural,AJAY KUMAR SHARMA,JGP,5767,7,5774,3,Lost
Rajasthan,Jaipur Rural,ANIL KUMAR,Aam Aadmi Party,6847,70,6917,4,Lost
Rajasthan,Jaipur Rural,JAGDISH PRASAD,Lok Dal,1378,0,1378,5,Lost
Rajasthan,Jaipur Rural,TEK CHAND SONWAL,APoI,3035,12,3047,6,Lost
Rajasthan,Jaipur Rural,DHIRAJ GURJAR,Samajwadi Party,1401,11,1412,7,Lost
Rajasthan,Jaipur Rural,NAVIN PILANIA,NPEP,31455,162,31617,8,Lost
Rajasthan,Jaipur Rural,NARAYAN LAL PARIHAR,BNNP,1327,0,1327,9,Lost
Rajasthan,Jaipur Rural,SHAYAM SINGH RATHORE,LS,3722,0,3722,10,Lost
Rajasthan,Jaipur Rural,DR. OM SINGH MEENA,Independent,4518,2,4520,11,Lost
Rajasthan,Jaipur Rural,KAMAL  KUMAR  GAUR,Independent,9479,1,9480,12,Lost
Rajasthan,Jaipur Rural,None of the Above,NOTA,11527,6,11533,13,Lost
Rajasthan,Jaipur,D.K. (DEV KRISHAN) CHHANGANI,Communist Party of India,15594,3,15597,1,Won
Rajasthan,Jaipur,FAROOQ SHAH,Bahujan Samaj Party,5177,16,5193,2,Lost
Rajasthan,Jaipur,DR. MAHESH JOSHI,Indian National Congress,323031,982,324013,3,Lost
Rajasthan,Jaipur,RAMCHARAN BOHARA,Bharatiya Janata Party,859973,3385,863358,4,Lost
Rajasthan,Jaipur,ANIL KUMAR SHARMA,JGP,4568,31,4599,5,Lost
Rajasthan,Jaipur,ABDUL AZIZ BHARTIYA,Rashtriya Ulama Council,1102,1,1103,6,Lost
Rajasthan,Jaipur,IFTEKAR QURISHI,All India Forward Bloc,621,0,621,7,Lost
Rajasthan,Jaipur,KAILASH CHAND SAINI,Hindustan Janta Party,565,1,566,8,Lost
Rajasthan,Jaipur,DR. TANMAY,IPGP,891,2,893,9,Lost
Rajasthan,Jaipur,NEERU AGARWAL,nuzp,1561,5,1566,10,Lost
Rajasthan,Jaipur,RAJU LAL BAIRWA,APoI,1891,8,1899,11,Lost
Rajasthan,Jaipur,DR. VIRENDRA SINGH,Aam Aadmi Party,54839,279,55118,12,Lost
Rajasthan,Jaipur,PAWAN SINGH SHEKHAWAT,Independent,1984,3,1987,13,Lost
Rajasthan,Jaipur,MUNNA DASS DABODIA,Independent,4852,4,4856,14,Lost
Rajasthan,Jaipur,RAM SINGH RAJ,Independent,2072,0,2072,15,Lost
Rajasthan,Jaipur,HAFIZ KHAN WARSI,Independent,5020,0,5020,16,Lost
Rajasthan,Jaipur,None of the Above,NOTA,8327,18,8345,17,Lost
Rajasthan,Alwar,AZAD HUSAIN,Bahujan Samaj Party,19473,10,19483,1,Won
Rajasthan,Alwar,CHAND NATH,Bharatiya Janata Party,640481,1797,642278,2,Lost
Rajasthan,Alwar,BHANWAR JITENDRA SINGH,Indian National Congress,357609,774,358383,3,Lost
Rajasthan,Alwar,ARUN KUMAR ROOPAK,NADP,3412,0,3412,4,Lost
Rajasthan,Alwar,KHOOBRAJ NEERAJ,Bahujan Mukti Party,702,0,702,5,Lost
Rajasthan,Alwar,KHAIM CHAND,Bharatiya Yuva Shakti,1187,0,1187,6,Lost
Rajasthan,Alwar,DR. DASHRATH KUMAR HINUNIA,APoI,3611,1,3612,7,Lost
Rajasthan,Alwar,CHAUDHARY NASRUDEEN TANWAR,Socialist Party (India),662,0,662,8,Lost
Rajasthan,Alwar,NISHAR AHMED,Jai Maha Bharath Party,441,0,441,9,Lost
Rajasthan,Alwar,MANGURAM SAIN,ABCD(A),565,1,566,10,Lost
Rajasthan,Alwar,MURSHID AHMED,All India Trinamool Congress,2160,0,2160,11,Lost
Rajasthan,Alwar,VIRJANAND,Samajwadi Party,1843,2,1845,12,Lost
Rajasthan,Alwar,DR VIRENDRA VIDROHI,Aam Aadmi Party,8480,37,8517,13,Lost
Rajasthan,Alwar,SURESH SHARMA,JGP,2100,4,2104,14,Lost
Rajasthan,Alwar,KISHAN LAL,Independent,2572,0,2572,15,Lost
Rajasthan,Alwar,JAGDISH PRASAD BAIRWA,Independent,3390,0,3390,16,Lost
Rajasthan,Alwar,RAMESH PANVAL,Independent,1227,0,1227,17,Lost
Rajasthan,Alwar,HARIPRASAD,Independent,3579,1,3580,18,Lost
Rajasthan,Alwar,HARI SINGH SHARMA,Independent,3672,0,3672,19,Lost
Rajasthan,Alwar,None of the Above,NOTA,2503,9,2512,20,Lost
Rajasthan,BHARATPUR,BAHADUR SINGH KOLI,Bharatiya Janata Party,577863,1962,579825,1,Won
Rajasthan,BHARATPUR,MAHENDAR KUMAR JATAV,Bahujan Samaj Party,22065,25,22090,2,Lost
Rajasthan,BHARATPUR,DR.SURESH JATAV,Indian National Congress,333619,738,334357,3,Lost
Rajasthan,BHARATPUR,AMAR CHAND POHIYA,Rajasthan Vikas Party,3969,0,3969,4,Lost
Rajasthan,BHARATPUR,GOPAL PAHARIA,Aam Aadmi Party,6990,23,7013,5,Lost
Rajasthan,BHARATPUR,LAKHAN SINGH,IPGP,959,1,960,6,Lost
Rajasthan,BHARATPUR,VIMLA UMAR,All India Trinamool Congress,1791,1,1792,7,Lost
Rajasthan,BHARATPUR,GHISU LAL,Independent,609,2,611,8,Lost
Rajasthan,BHARATPUR,PREM CHAND DHAMANI,Independent,835,0,835,9,Lost
Rajasthan,BHARATPUR,MADHURI PUSHKAR,Independent,1186,1,1187,10,Lost
Rajasthan,BHARATPUR,MAMRAJ,Independent,1787,0,1787,11,Lost
Rajasthan,BHARATPUR,SHEETAL JATAV,Independent,2071,0,2071,12,Lost
Rajasthan,BHARATPUR,None of the Above,NOTA,5928,7,5935,13,Lost
Rajasthan,KARAULI-DHOLPUR,G.R.BARUA,Bahujan Samaj Party,25147,3,25150,1,Won
Rajasthan,KARAULI-DHOLPUR,MANOJ RAJORIYA,Bharatiya Janata Party,401921,486,402407,2,Lost
Rajasthan,KARAULI-DHOLPUR,LAKKHIRAM,Indian National Congress,374828,363,375191,3,Lost
Rajasthan,KARAULI-DHOLPUR,KAMAL SINGH,All India Trinamool Congress,7286,0,7286,4,Lost
Rajasthan,KARAULI-DHOLPUR,GHANSHYAM,Aam Aadmi Party,3726,0,3726,5,Lost
Rajasthan,KARAULI-DHOLPUR,DHANRAJ BAIRWA,Socialist Party (India),745,0,745,6,Lost
Rajasthan,KARAULI-DHOLPUR,PHOOLSINGH,JGP,951,0,951,7,Lost
Rajasthan,KARAULI-DHOLPUR,RAMESH,Bharatiya Yuva Shakti,1629,0,1629,8,Lost
Rajasthan,KARAULI-DHOLPUR,RAM SINGH,NPEP,9448,10,9458,9,Lost
Rajasthan,KARAULI-DHOLPUR,SHRELAL KHARE,Jai Maha Bharath Party,922,0,922,10,Lost
Rajasthan,KARAULI-DHOLPUR,ASHOK KUMAR,Independent,1383,2,1385,11,Lost
Rajasthan,KARAULI-DHOLPUR,KANCHAN BAI,Independent,3014,0,3014,12,Lost
Rajasthan,KARAULI-DHOLPUR,KISHOR KUMAR,Independent,3376,0,3376,13,Lost
Rajasthan,KARAULI-DHOLPUR,LAXMIKANT,Independent,4767,0,4767,14,Lost
Rajasthan,KARAULI-DHOLPUR,None of the Above,NOTA,5934,0,5934,15,Lost
Rajasthan,Dausa,CHANDU LAL MEENA (GEROTA),Bahujan Samaj Party,15299,4,15303,1,Won
Rajasthan,Dausa,NAMONARAIN MEENA,Indian National Congress,181009,263,181272,2,Lost
Rajasthan,Dausa,HARISH CHANDRA MEENA ,Bharatiya Janata Party,314334,725,315059,3,Lost
Rajasthan,Dausa,DR. KIRODI LAL,NPEP,269032,623,269655,4,Lost
Rajasthan,Dausa,KHEMRAJ MEENA,Bharatiya Yuva Shakti,4297,0,4297,5,Lost
Rajasthan,Dausa,DHARMI GHUNAWAT,IPGP,1635,0,1635,6,Lost
Rajasthan,Dausa,RUKMANI MEENA JHAKHIWAL,Socialist Party (India),917,0,917,7,Lost
Rajasthan,Dausa,DR. SANJEET KUMAR DHANKA,Aam Aadmi Party,3196,6,3202,8,Lost
Rajasthan,Dausa,SURAJ BHAN DHANKA,Samajwadi Party,2357,0,2357,9,Lost
Rajasthan,Dausa,ANJALI BHADANA,Independent,3070,2,3072,10,Lost
Rajasthan,Dausa,ANJU DEVI DHANKA,Independent,16883,52,16935,11,Lost
Rajasthan,Dausa,DR. NASEEM GURJAR,Independent,5792,0,5792,12,Lost
Rajasthan,Dausa,BIMLA DEVI MEENA,Independent,20036,1,20037,13,Lost
Rajasthan,Dausa,SHIV PAL GURJAR,Independent,82493,56,82549,14,Lost
Rajasthan,Dausa,None of the Above,NOTA,8406,4,8410,15,Lost
Rajasthan,TONK-SAWAI MADHOPUR,MOHAMMED AZHARUDDIN,Indian National Congress,412836,195,413031,1,Won
Rajasthan,TONK-SAWAI MADHOPUR,SUKHBIR SINGH JAUNAPURIA ,Bharatiya Janata Party,548146,391,548537,2,Lost
Rajasthan,TONK-SAWAI MADHOPUR,SURESH,Bahujan Samaj Party,10394,1,10395,3,Lost
Rajasthan,TONK-SAWAI MADHOPUR,JAGMOHAN MEENA,NPEP,14574,30,14604,4,Lost
Rajasthan,TONK-SAWAI MADHOPUR,DINESH,All India Trinamool Congress,2151,0,2151,5,Lost
Rajasthan,TONK-SAWAI MADHOPUR,DINESH SAINI,Jai Maha Bharath Party,2210,0,2210,6,Lost
Rajasthan,TONK-SAWAI MADHOPUR,BAJARANG LAL,RAHM,699,0,699,7,Lost
Rajasthan,TONK-SAWAI MADHOPUR,BHAR SINGH,Socialist Party (India),703,0,703,8,Lost
Rajasthan,TONK-SAWAI MADHOPUR,MUKESH,Aam Aadmi Party,2665,3,2668,9,Lost
Rajasthan,TONK-SAWAI MADHOPUR,RAMESH CHAND,Lok Dal,752,0,752,10,Lost
Rajasthan,TONK-SAWAI MADHOPUR,RAM HANS,NADP,869,0,869,11,Lost
Rajasthan,TONK-SAWAI MADHOPUR,VARIS ALI,AAP,2363,0,2363,12,Lost
